Div,Dept,Sustainability-Inclusive Author Count,SDG-Related Author Count,Not-Related Author Count,Sustainability-Focused Author Count,Division Name Correction,Department Name Correction,Dept Classification,True Department? Only right dept (wrong name not included),Notes,Need Help,Notes
Herman Ostrow School of Dentistry of USC,Chan Division of Occupational Science and Occupational Therapy,91,110,34,2,,,Academic,yes,https://chan.usc.edu/,,
Herman Ostrow School of Dentistry of USC,Division of Biokinesiology and Physical Therapy,46,130,70,3,,,Academic,yes,https://pt.usc.edu/,,
"Human Resources, Equity and Compliance",WorkWell Center,1,1,1,0,,,Academic and Administrative,no,https://workwell.usc.edu/,,
Institute on Inequalities in Global Health,Institute on Inequalities in Global Health,7,4,2,2,,,Academic,no,https://globalhealth.usc.edu/,,
Iovine and Young Academy,"Arts, Technology and the Business of Innovation",1,0,0,0,,Other,Academic,no,https://iovine-young.usc.edu/learn/undergraduate/bs-arts-technology-and-the-business-of-innovation,,
Iovine and Young Academy,Iovine/Young Operating,0,0,1,0,,Other,Administrative,no,https://iovine-young.usc.edu/,,
Keck Medicine of USC,Adolescent Trauma Training Center,1,0,0,0,,,Academic,no,https://keck2.usc.edu/adolescent-trauma-training-center/,,
Keck Medicine of USC,Alzheimer's Therapeutic Research Institute,31,43,1,0,,,Academic,no,https://atri.usc.edu/,,
Keck Medicine of USC,Center for Health Equity in the Americas,1,1,1,0,,,Academic,no,https://healthequityamericas.usc.edu/,,
Keck Medicine of USC,Center for Integrative Connectomics,7,7,8,0,,,Academic,no,https://cic.ini.usc.edu/,,
Keck Medicine of USC,Health Promotion and Disease Prevention Studies,0,2,2,0,,Other,Academic,no,https://catalogue.usc.edu/preview_program.php?catoid=18&poid=25576,,
Keck Medicine of USC,Health Systems Operations,0,1,0,0,,Other,Academic,no,,,
Keck Medicine of USC,Imaging Genetics Center,68,94,11,0,,,Academic,no,https://igc.ini.usc.edu/,,
Keck Medicine of USC,Institute of Translational Genomics at Keck Medicine of USC,3,4,0,0,,Translational Genomics,Academic,no,,,
Keck Medicine of USC,Keck Hospital of USC,14,6,1,0,,,Academic and Administrative,no,https://www.keckmedicine.org/about/keck-hospital-of-usc/,,
Keck Medicine of USC,Keck Medicine of USC - Cedars-Sinai Medical Center,23,37,14,0,,,Academic,no,https://www.cedars-sinai.org/locations/cedars-sinai-main-campus-89.html,,
Keck Medicine of USC,Keck-Rancho Los Amigos National Rehabilitation Center,30,39,17,0,Chan Division of Occupational Science and Occupational Therapy,,Academic,no,https://chan.usc.edu/education/post-professional-otd/residencies/rancho,,
Keck Medicine of USC,Mark and Mary Stevens Neuroimaging and Informatics Institute (INI),182,238,100,0,,Physiology and Neuroscience,Academic,no,https://www.ini.usc.edu/about,,
Keck Medicine of USC,Master of Science in Global Medicine,1,0,0,0,,Population Public Health Sciences,Academic,no,,,
Keck Medicine of USC,Medicine/Business Administration,1,2,0,0,,Other,Academic,no,?,,
Keck Medicine of USC,Medicine/Public Health,4,3,0,0,,Population Public Health Sciences,Academic,no,,,
Keck Medicine of USC,Memory and Aging Center,1,3,0,0,,Alzheimer Disease Research Center,Academic,no,https://www.keckmedicine.org/centers-and-programs/memory-and-aging/,,
Keck Medicine of USC,Neurosurgery,0,4,1,0,,Neurological Surgery,Academic,yes,,,
Keck Medicine of USC,Office of Educational Affiars,1,0,0,0,Other,Other,Administrative,no,https://keck.usc.edu/md-program/student-affairs/,,
Keck Medicine of USC,Orthopaedic Surgery,117,277,107,0,,,Academic,yes,,,
Keck Medicine of USC,Patient and Family Experience Office,1,0,0,0,Keck Medicine of USC,Other,Administrative,no,https://www.keckmedicine.org/services/cancer/cancer-inpatient-services/,,
Keck Medicine of USC,Pediatrics LA General,0,1,0,0,,Pediatrics,Academic and Administrative,no,https://keck.usc.edu/pediatrics/,,
Keck Medicine of USC,Pediatrics LA General - Maternal Child Program,3,1,0,0,,Pediatrics,Academic and Administrative,no,,,
Keck Medicine of USC,Programs in Biomedical and Biological Sciences,0,3,0,0,,Other,Academic,no,https://keck.usc.edu/pibbs/,,
Keck Medicine of USC,Radiation Oncology,53,75,11,0,,,Academic,yes,,,
Keck Medicine of USC,Research Center for Alcoholic Liver and Pancreatic Diseases and Cirrhosis,21,28,1,0,,Research Center for ALPD and Cirrhosis,Academic,no,https://keck.usc.edu/alpd-and-cirrhosis-research-center/,,
Keck Medicine of USC,Southern California Clinical and Translational Science Institute (SC CTSI),31,26,7,0,,,Academic,no,https://sc-ctsi.org/,,
Keck Medicine of USC,Southern California Evidence Review Center,12,16,4,0,,,Academic,no,https://sites.usc.edu/socalevidencereview/,,
Keck Medicine of USC,Student Health,3,2,0,0,,,Administrative,no,,,
Keck Medicine of USC,Translational Genomics,28,43,7,0,,,Academic,yes,,,
Keck Medicine of USC,USC Verdugo Hills Hospital,0,1,0,0,,,Administrative,no,https://www.keckmedicine.org/locations/1812-verdugo-blvd-glendale/,,
Keck Medicine of USC,USC/UKRO Kidney Research Center,6,21,1,0,,,Academic,no,https://keck2.usc.edu/usc-ukro-kidney-research-center/,,
Keck Medicine of USC,Alzheimer Disease Research Center,19,22,3,1,,,Academic,no,https://keck.usc.edu/cpbh/study-enrollment-hub/usc-alzheimers-disease-research-center/,,
Keck Medicine of USC,Anesthesiology,70,140,9,1,,,Academic,yes,,,
Keck Medicine of USC,Diabetes and Obesity Research Institute,17,13,5,1,,,Academic,no,https://usc-dori.org/,,
Keck Medicine of USC,Emergency Medicine,66,91,8,1,,,Academic,yes,,,
Keck Medicine of USC,Family Medicine,54,58,8,1,,,Academic,yes,,,
Keck Medicine of USC,Institute for Technology and Medical Systems Innovation,7,10,6,1,,,Academic,no,https://itemsusc.org/,,
Keck Medicine of USC,Medical Education,18,14,5,1,,,Academic,yes,,,
Keck Medicine of USC,Neurorestoration Center,22,36,16,1,,,Academic and Administrative,no,https://keck2.usc.edu/neurorestoration-center/,,
Keck Medicine of USC,Otolaryngology,87,161,81,1,,,Academic,yes,,,
Keck Medicine of USC,Physiology and Neuroscience,44,124,43,1,,,Academic,yes,,,
Keck Medicine of USC,Gehr Family Center for Health Systems Science,24,19,6,2,,,Academic and Administrative,no,https://keck.usc.edu/gehrcenter/,,
Keck Medicine of USC,Biochemistry and Molecular Medicine,41,133,66,3,,,Academic,yes,,,
Keck Medicine of USC,Institute of Prevention Research,48,44,30,3,,,Academic,no,https://sites.usc.edu/ipr/,,
Keck Medicine of USC,Neurological Surgery,96,181,59,3,,,Academic,yes,,,
Keck Medicine of USC,Research Center for Liver Diseases,27,33,7,3,,,Academic,no,"https://research.usc.edu/news/2021/10/research-center-for-liver-diseases/#:~:text=The%20USC%20Research%20Center%20for,pathobiology%20of%20diseases%20of%20the",,
Keck Medicine of USC,Integrative Anatomical Sciences,14,38,20,4,,,Academic,no,https://keck.usc.edu/integrative-anatomical-sciences/,,
Keck Medicine of USC,Pathology,125,280,61,4,,,Academic,yes,,,
Keck Medicine of USC,Radiology,156,221,69,4,,,Academic,yes,,,
Keck Medicine of USC,Hastings Center for Pulmonary Research,11,47,20,5,,,Academic,no,https://keck.usc.edu/hastings/,,
Keck Medicine of USC,Obstetrics and Gynecology,161,172,41,5,,,Academic,yes,,,
Keck Medicine of USC,Dermatology,77,110,18,6,,,Academic,yes,,,
Keck Medicine of USC,Eli and Edythe Broad Center for Regenerative Medicine and Stem Cell Research,13,112,55,6,,Stem Cell Biology and Regenerative Medicine,Academic,no,,,
Keck Medicine of USC,Ophthalmology,118,281,64,6,,,Academic,yes,,,
Keck Medicine of USC,Other,229,369,48,6,,,Academic and Administrative,no,,,
Keck Medicine of USC,Stem Cell Biology and Regenerative Medicine,25,218,87,7,,,Academic,yes,,,
Keck Medicine of USC,Psychiatry and Behavioral Sciences,108,136,45,8,,,Academic,yes,,,
Keck Medicine of USC,Zilkha Neurogenetic Institute (ZNI),53,182,84,8,,,Academic,no,https://keck.usc.edu/zilkha/,,
Keck Medicine of USC,Institute for Addiction Science (IAS),44,49,39,9,,,Academic,no,https://ias.usc.edu/,,
Keck Medicine of USC,LAC+USC Medical Center,166,236,37,9,,,Administrative,no,https://hcai.ca.gov/hospital/lacusc-medical-center/,,
Keck Medicine of USC,Molecular Microbiology and Immunology,77,186,27,10,,,Academic,yes,,,
Keck Medicine of USC,Neurology,144,228,56,11,,,Academic,yes,,,
Keck Medicine of USC,Urology,191,223,47,11,,,Academic,yes,,,
Keck Medicine of USC,Center for Genetic Epidemiology,60,67,21,13,,,Academic,no,,,
Keck Medicine of USC,Surgery,408,675,137,13,,,Academic,yes,,,
Keck Medicine of USC,Pediatrics,367,474,99,25,,,Academic,yes,,,
Keck Medicine of USC,Norris Comprehensive Cancer Center,390,693,165,35,,,Academic,no,https://keck.usc.edu/genetic-epidemiology-center/,,
Keck Medicine of USC,Children's Hospital Los Angeles,576,896,176,37,,,Academic and Administrative,no,,,
Keck Medicine of USC,Medicine,459,872,90,40,,,Academic,yes,,,
Keck Medicine of USC,Population and Public Health Sciences,624,540,350,154,,,Academic,yes,,,
